Date,Monthly Listeners
02-14-2021,17813549
02-15-2021,17967303
02-16-2021,18108978
02-17-2021,18378581
02-18-2021,18498374
02-19-2021,18175786
02-20-2021,18175786
02-21-2021,17942415
02-22-2021,17830481
02-23-2021,17742031
02-24-2021,17679097
02-25-2021,17631106
02-26-2021,17585843
02-27-2021,17469748
02-28-2021,17306360
03-01-2021,17172188
03-02-2021,17045503
03-03-2021,16920875
03-04-2021,16784481
03-05-2021,16784481
03-06-2021,16784481
03-07-2021,16338326
03-08-2021,16204632
03-09-2021,16098354
03-10-2021,15947031
03-11-2021,15792557
03-12-2021,15619175
03-13-2021,15464710
03-14-2021,15310502
03-15-2021,15017016
03-16-2021,15017016
03-17-2021,14893440
03-18-2021,14753979
03-19-2021,14610242
03-20-2021,14463613
03-21-2021,14303301
03-22-2021,14155739
03-23-2021,14005391
03-24-2021,13852555
03-25-2021,13678786
03-26-2021,13514212
03-27-2021,13394867
03-28-2021,13300053
03-29-2021,13211761
03-30-2021,13138348
03-31-2021,13063058
04-01-2021,12996036
04-02-2021,12935705
04-03-2021,12888779
04-04-2021,12844097
04-05-2021,12800325
04-06-2021,12767247
04-07-2021,12748730
04-08-2021,12738824
04-09-2021,12720654
04-10-2021,12680966
04-11-2021,12612234
04-12-2021,12595638
04-13-2021,12595638
04-14-2021,12573601
04-15-2021,12573601
04-16-2021,12573601
04-17-2021,12573601
04-18-2021,12493546
04-19-2021,12493546
04-20-2021,12479542
04-21-2021,12472249
04-22-2021,12463126
04-23-2021,12457525
04-24-2021,12453798
04-25-2021,12445299
04-26-2021,12443588
04-27-2021,12430667
04-28-2021,12430667
04-29-2021,12405095
04-30-2021,12381581
05-01-2021,12366848
05-02-2021,12348717
05-03-2021,12348717
05-04-2021,12339938
05-05-2021,12308612
05-06-2021,12308612
05-07-2021,12284014
05-08-2021,12271985
05-09-2021,12256988
05-10-2021,12256988
05-11-2021,12238326
05-12-2021,12227798
05-13-2021,12227798
05-14-2021,12235089
05-15-2021,12240776
05-16-2021,12259798
05-17-2021,12259798
05-18-2021,12274472
05-19-2021,12280867
05-20-2021,12296457
05-21-2021,12292258
05-22-2021,12292258
05-23-2021,12340126
05-24-2021,12359180
05-25-2021,12383027
05-26-2021,12404011
05-27-2021,12412855
05-28-2021,12432044
05-29-2021,12440833
05-30-2021,12447095
05-31-2021,12447095
06-01-2021,12440514
06-02-2021,12457699
06-03-2021,12457699
06-04-2021,12502504
06-05-2021,12502504
06-06-2021,12523277
06-07-2021,12523277
06-08-2021,12571945
06-09-2021,12580971
06-10-2021,12580971
06-11-2021,12571340
06-12-2021,12571340
06-13-2021,12561474
06-14-2021,12535852
06-15-2021,12522883
06-16-2021,12495135
06-17-2021,12495135
06-18-2021,12472619
06-19-2021,12405493
06-20-2021,12361516
06-21-2021,12332832
06-22-2021,12332832
06-23-2021,12304523
06-24-2021,12272626
06-25-2021,12242817
06-26-2021,12209618
06-27-2021,12151737
06-28-2021,12151737
06-29-2021,12136471
06-30-2021,12121933
07-01-2021,12091199
07-02-2021,12040853
07-03-2021,11992371
07-04-2021,11873901
07-05-2021,11873901
07-06-2021,11822784
07-07-2021,11757887
07-08-2021,11700002
07-09-2021,11653430
07-10-2021,11635642
07-11-2021,11598049
07-12-2021,11562734
07-13-2021,11541798
07-14-2021,11527898
07-15-2021,11506013
07-16-2021,11483170
07-17-2021,11450833
07-18-2021,11391123
07-19-2021,11391123
07-20-2021,11318733
07-21-2021,11318733
07-22-2021,11279429
07-23-2021,11243340
07-24-2021,11203642
07-25-2021,11171969
07-26-2021,11117294
07-27-2021,11117294
07-28-2021,11096756
07-29-2021,11073867
07-30-2021,11035243
07-31-2021,11035243
08-01-2021,11035243
08-02-2021,11046681
08-03-2021,11066010
08-04-2021,11082965
08-05-2021,11094283
08-06-2021,11072555
08-07-2021,11072555
08-08-2021,11054030
08-09-2021,11038974
08-10-2021,11026852
08-11-2021,11026852
08-12-2021,11003432
08-13-2021,10959370
08-14-2021,10935485
08-15-2021,10935485
08-16-2021,10920594
08-17-2021,10908565
08-18-2021,10908565
08-19-2021,10875112
08-20-2021,10875112
08-21-2021,10852649
08-22-2021,10840379
08-23-2021,10835927
08-24-2021,10835927
08-25-2021,10824938
08-26-2021,10807180
08-27-2021,10783971
08-28-2021,10759207
08-29-2021,10759207
08-30-2021,10745027
08-31-2021,10720801
09-01-2021,10688995
09-02-2021,10656595
09-03-2021,10629687
09-04-2021,10604027
09-05-2021,10559981
09-06-2021,10530810
09-07-2021,10508778
09-08-2021,10508778
09-09-2021,10496506
09-10-2021,10512705
09-11-2021,10649241
09-12-2021,10775036
09-13-2021,10775036
09-14-2021,10833778
09-15-2021,10946536
09-16-2021,10995822
09-17-2021,11017496
09-18-2021,11017496
09-19-2021,11052700
09-20-2021,11052700
09-21-2021,11066970
09-22-2021,11068950
09-23-2021,11102245
09-24-2021,11102245
09-25-2021,11112426
09-26-2021,11112426
09-27-2021,11126958
09-28-2021,11137003
09-29-2021,11138786
09-30-2021,11179340
10-01-2021,11211172
10-02-2021,11211172
10-03-2021,11233766
10-04-2021,11244041
10-05-2021,11269235
10-06-2021,11269235
10-07-2021,11253698
10-08-2021,11152890
10-09-2021,11086411
10-10-2021,11034433
10-11-2021,10981715
10-12-2021,10921485
10-13-2021,10921485
10-14-2021,10800437
10-15-2021,10747963
10-16-2021,10747963
10-17-2021,10713765
10-18-2021,10679976
10-19-2021,10626169
10-20-2021,10589658
10-21-2021,10589658
10-22-2021,10519518
10-23-2021,10519518
10-24-2021,10494467
10-25-2021,10459822
10-26-2021,10436282
10-27-2021,10417243
10-28-2021,10386579
10-29-2021,10352011
10-30-2021,10312194
10-31-2021,10249212
11-01-2021,10212556
11-02-2021,10212556
11-03-2021,10167391
11-04-2021,10167391
11-05-2021,10138594
11-06-2021,10099107
11-07-2021,10084481
11-08-2021,10074847
11-09-2021,10074847
11-10-2021,10066096
11-11-2021,10066096
11-12-2021,10062561
11-13-2021,10073112
11-14-2021,10074136
11-15-2021,10084135
11-16-2021,10083904
11-17-2021,10084481
11-18-2021,10093200
11-19-2021,10083360
11-20-2021,10075539
11-21-2021,10075539
11-22-2021,10070202
11-23-2021,10059730
11-24-2021,10050035
11-25-2021,10050035
11-26-2021,10028198
11-27-2021,10041547
11-28-2021,10058189
11-29-2021,10106332
11-30-2021,10106332
12-01-2021,10161782
12-02-2021,10217409
12-03-2021,10217409
12-04-2021,10368974
12-05-2021,10434695
12-06-2021,10483981
12-07-2021,10483981
12-08-2021,10528708
12-09-2021,10557804
12-10-2021,10591571
12-11-2021,10635180
12-12-2021,10739286
12-13-2021,10739286
12-14-2021,10817018
12-15-2021,10817018
12-16-2021,10870218
12-17-2021,10916788
12-18-2021,10977149
12-19-2021,11032392
12-20-2021,11032392
12-21-2021,11126554
12-22-2021,11126554
12-23-2021,11176383
12-24-2021,11362389
12-25-2021,11362389
12-26-2021,11485307
12-27-2021,11476212
12-28-2021,11456411
12-29-2021,11456411
12-30-2021,11441604
12-31-2021,11370167
01-01-2022,11279570
01-02-2022,11223516
01-03-2022,11223516
01-04-2022,11154585
01-05-2022,11122428
01-06-2022,11122428
01-07-2022,11030869
01-08-2022,10965036
01-09-2022,10965036
01-10-2022,10888940
01-11-2022,10888940
01-12-2022,10847498
01-13-2022,10768244
01-14-2022,10716476
01-15-2022,10716476
01-16-2022,10588662
01-17-2022,10588662
01-18-2022,10541087
01-19-2022,10541087
01-20-2022,10423254
01-21-2022,10334342
01-22-2022,10002287
01-23-2022,9968386
01-24-2022,9968386
01-25-2022,9965732
01-26-2022,9969346
01-27-2022,9967711
01-28-2022,9967711
01-29-2022,9993347
01-30-2022,9993347
01-31-2022,10001024
02-01-2022,10003941
02-02-2022,10003941
02-03-2022,10004340
02-04-2022,10004463
02-05-2022,10007933
02-06-2022,10035769
02-07-2022,10045538
02-08-2022,10045538
02-09-2022,10060250
02-10-2022,10071618
02-11-2022,10071618
02-12-2022,10098061
02-13-2022,10115490
02-14-2022,10130923
02-15-2022,10149479
02-16-2022,10149479
02-17-2022,10153707
02-18-2022,10159200
02-19-2022,10428888
02-20-2022,10428888
02-21-2022,10505276
02-22-2022,10666997
02-23-2022,10739425
02-24-2022,10739425
02-25-2022,10788629
02-26-2022,10831436
02-27-2022,10869923
02-28-2022,10909689
03-01-2022,10942325
03-02-2022,10971057
03-03-2022,11030363
03-04-2022,11030363
03-05-2022,11075849
03-06-2022,11075849
03-07-2022,11075849
03-08-2022,11133849
